1949;2.54;20.21
1950;2.51;19.73
1951;2.53;18.43
1952;2.53;18.08
1953;2.68;19.01
1954;2.78;19.57
1955;2.77;19.58
1956;2.79;19.43
1957;3.09;20.83
1958;3.01;19.73
1959;2.90;18.87
1960;2.88;18.43
1961;2.89;18.31
1962;2.90;18.19
1963;2.89;17.89
1964;;17.60
1965;;17.20
1966;;16.84
1967;2.92;16.56
1968;2.94;16.00
1969;3.09
1970;3.18
1971;3.39
1972;3.39;15.36
1973;3.89;16.59
1974;6.87;26.39
1975;7.67;27.00
1976;8.19;27.26
1977;8.57;26.78
1978;9.00;26.14
1979;12.64;32.98
1980;21.59;49.63
1981;31.77;66.20
1982;28.52;55.98
1983;26.19;49.80
1984;25.88;47.18
1985;24.09;42.40
1986;12.51;21.62
1987;15.40;25.68
